Taxon,longitude,latitude
Spiraea_hypericifolia_subsp._hypericifolia,105.959722,51.122778
Spiraea_hypericifolia_subsp._hypericifolia,106.035858,46.202214
Spiraea_hypericifolia_subsp._hypericifolia,107.110003,51.14356
Spiraea_hypericifolia_subsp._hypericifolia,105.879,47.764
Spiraea_hypericifolia_subsp._hypericifolia,106.357742,51.281564
Spiraea_hypericifolia_subsp._hypericifolia,105.967222,50.564167
Spiraea_hypericifolia_subsp._hypericifolia,105.292167,50.25529
Spiraea_hypericifolia_subsp._hypericifolia,107.83936,51.283111
Spiraea_hypericifolia_subsp._hypericifolia,114.084382,51.361552
Spiraea_hypericifolia_subsp._hypericifolia,106.275904,48.271253
Spiraea_hypericifolia_subsp._hypericifolia,104.263893,49.509444
Spiraea_hypericifolia_subsp._hypericifolia,107.400181,51.710051
Spiraea_hypericifolia_subsp._hypericifolia,105.958965,51.122789
Spiraea_hypericifolia_subsp._hypericifolia,106.256054,48.459978
Spiraea_hypericifolia_subsp._hypericifolia,107.768722,51.018692
Spiraea_hypericifolia_subsp._hypericifolia,105.927222,48.566389
Spiraea_hypericifolia_subsp._hypericifolia,107.057377,51.583298
Spiraea_hypericifolia_subsp._hypericifolia,108.34497,51.996275
Spiraea_hypericifolia_subsp._hypericifolia,107.796097,51.021436
Spiraea_hypericifolia_subsp._hypericifolia,107.600808,51.730506
Spiraea_hypericifolia_subsp._hypericifolia,105.26925,50.55046
Spiraea_hypericifolia_subsp._hypericifolia,107.106944,51.145278
Spiraea_hypericifolia_subsp._hypericifolia,106.044995,46.210897
Spiraea_hypericifolia_subsp._hypericifolia,107.402163,51.70353
Spiraea_hypericifolia_subsp._hypericifolia,107.643657,51.55014
Spiraea_hypericifolia_subsp._hypericifolia,111.674722,48.828056
Spiraea_hypericifolia_subsp._hypericifolia,107.106933,51.147408
Spiraea_hypericifolia_subsp._hypericifolia,107.5112,51.3803
Spiraea_hypericifolia_subsp._hypericifolia,111.437165,41.00512
Spiraea_hypericifolia_subsp._hypericifolia,117.760159,41.938529
Spiraea_hypericifolia_subsp._hypericifolia,119.424026,49.328916
Spiraea_hypericifolia_subsp._hypericifolia,120.735775,49.293222
Spiraea_hypericifolia_subsp._hypericifolia,115.6,50.95
Spiraea_hypericifolia_subsp._hypericifolia,114.816667,51.05
Spiraea_hypericifolia_subsp._hypericifolia,114.533333,51.1
Spiraea_hypericifolia_subsp._hypericifolia,105.3144,51.1628
Spiraea_hypericifolia_subsp._hypericifolia,118.6191,52.5179
Spiraea_hypericifolia_subsp._hypericifolia,115.9784,50.0901
Spiraea_hypericifolia_subsp._hypericifolia,105.2082,51.4425
Spiraea_hypericifolia_subsp._hypericifolia,115.0666,50.4557
Spiraea_hypericifolia_subsp._hypericifolia,107.2976,50.954
Spiraea_hypericifolia_subsp._hypericifolia,115.8877,50.1362
Spiraea_hypericifolia_subsp._hypericifolia,106.79147,50.57304
Spiraea_hypericifolia_subsp._hypericifolia,114.76078,51.100711
Spiraea_hypericifolia_subsp._hypericifolia,116.572981,51.980092
Spiraea_hypericifolia_subsp._hypericifolia,114.5618,51.0915
Spiraea_hypericifolia_subsp._hypericifolia,115.5,48.833333
Spiraea_hypericifolia_subsp._hypericifolia,113.955354,51.752942
Spiraea_hypericifolia_subsp._hypericifolia,115.131655,45.421046
Spiraea_hypericifolia_subsp._hypericifolia,108.241746,50.099094
Spiraea_hypericifolia_subsp._hypericifolia,105.16782,50.867079
Spiraea_hypericifolia_subsp._hypericifolia,109.401412,52.173212
Spiraea_hypericifolia_subsp._hypericifolia,117.338,49.6701
Spiraea_hypericifolia_subsp._hypericifolia,111.737824,48.631093
Spiraea_hypericifolia_subsp._hypericifolia,103.73,47.47
Spiraea_hypericifolia_subsp._hypericifolia,110.060005,43.090704
